"GOOD HEALTH MEDICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        QUAZI BAGH MARKET,NEAR RAM MANDIR GOLA BAZAR SHERGHATI GAYA-824211",,,,,,,,,,,,,,,
STOCK REPORT AS ON DATE 23-07-2026,,,,,,,,,,,,,,,
Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.
,,,,Deal,Free,Deal,Free,,,,,,,,
AVEALS101,ALLEGRA SUSPEN. 100ML,PCS,2,0,0,0,0,177.115,354.23,235.5,179.45,0,SANOFI AVENTIS.,,
000477,ALL OUT COMBO,TAB.,2,0,0,0,0,90.68,181.36,105,90.68,0,UNICHEM,,
000478,ALL OUT REFIL,TAB.,5,0,0,0,0,73.42,367.1,0,73.42,0,UNICHEM,,
ZZZ11235,ALMOX 250 CAP 20*15,TAB.,15.3,0,0,0,0,22.596,345.72,38.43,21.52,0,CIPLA,,
ZZZ11236,ALMOX 500MG CAP 20*15,TAB.,6.14,0,0,0,0,49.9995,307,117.85,50,0,CIPLA,,
4550,ALMOX CV 625 TAB 1*10,TAB.,0.2,0,0,0,0,70,14,208,70,0,ALKEM,,
SALAL2T02,ALNITRO 6.4MG TAB 30TAB,Pcs,3,0,0,0,0,231.2467,693.74,307.5,234.29,0,ALVIO,,
ZZZ5115,ALOGRACE SOAP 75GM,PCS,5,0,0,5,1,104.275,521.38,189,128.14,0,MANKIND,,
TETS152,ALPROVIT ACTIVE POWDER 1X200GM,TAB.,1,0,0,0,0,279.705,279.71,371.95,283.39,0,NICHOLAS,,
ARIAL2101,ALSARTAN 25MG TAB 1*10TAB,TABS,3,0,0,0,0,29.563,88.69,38.91,29.64,0,ARISTO,,A011
ARIALL101,ALSARTAN AM TAB 1*10TAB,TAB,3,0,0,0,0,72.32,216.96,95.16,72.5,0,ARISTO,,A011
1147,ALSITA E 25MG TAB,TAB.,6,0,0,0,0,117.854,707.12,158.4,120.69,0,OTHER PRODUCTS,,A011
000384,ALSITA GM1 1*10TAB,TAB.,6,0,0,0,0,98.9183,593.51,132.95,101.3,0,UNICHEM,,A010
000350,ALSITA GM2 1*10TAB,TAB.,2,0,0,0,0,103.946,207.89,139.65,106.45,0,DR.REDDY S LABORATORIES,,A010
HIFEN708,ALSITA GM2 FORTE 1*10TAB,TAB.,3,0,0,0,0,121.684,365.05,163.55,124.61,0,INDCHEMIE HEALTH PRIMUS,,A010
IPBAS105,ALSITA M 100 FORTE 1*10,PCS,3,0,0,0,0,129.3467,388.04,172,131.05,0,LUPIN,,A010
HIFEN709,ALSITA M50 FORTE 1*10TAB,TAB.,13,0,0,0,0,90.327,1174.25,121.4,92.5,0,INDCHEMIE HEALTH PRIMUS,,A010
000003253,ALSITA M 50 TAB 1*10,PCS,3,0,0,0,0,81.9683,245.9,110.15,83.94,0,BIOLOG,,A010
ALEAL2102,ALTHROCIN 250MG TAB 1*10TAB,TAB,0.6,0,0,0,0,52.407,31.44,69.7,53.1,0,ALEMBIC,,A-13
ALEAL5102,ALTHROCIN 500MG TAB 1*10TAB,TAB,5.6,0,0,0,0,102.154,572.06,135.84,103.5,0,ALEMBIC,,A013
3165,ALTHROCIN SYP 60ML,TAB.,3,0,0,0,0,54.41,163.23,73.12,55.72,0,BIOLOG,,
5585,ALTONIL 10 1*15,PCS,2,0,0,0,0,197.685,395.37,236.47,198.18,0,AVENUE,,A004
MICRO491,ALTONIL 3 MG,TAB.,2,0,0,0,0,59.07,118.14,76.91,58.6,0,DABUR,,A004
ZZZ7721,ALTORAN 40MG TAB 1*10TAB,TABS,2,0,0,0,0,95.33,190.66,125.44,95.57,0,ALEMBIC,,A004
INTAL1T02,ALZIL M 5MG TAB 1*10TAB,TAB,9,0,0,0,0,179.772,1617.95,239.06,182.14,0,INTAS,,A005
SUNAL0101,ALZOLAM 0.25MG TAB 1*10TAB,TAB,14,0,0,0,0,16.035,224.49,21.56,16.42,0,SUN,,A008
SUNAL0102,ALZOLAM 0.5MG TAB 1*10TAB,TAB,5,0,0,0,0,36.268,181.34,48.75,37.14,0,SUN,,A008
ZZZ4405,AMARYL 1MG TAB 1*30TAB,TAB,4,0,0,0,0,89.067,356.27,118.44,90.24,0,SANOFI AVENTIS.,,A004
ZZZ4948,AMARYL 2MG TAB 1*30TAB,TABS,8,0,0,0,0,139.533,1116.26,185.55,141.37,0,SANOFI AVENTIS.,,A004
ZZZ5470,AMARYL 3MG TAB 1*30,TAB,6,0,0,0,0,411.381,2468.29,547.05,416.8,0,SANOFI AVENTIS.,,A004
